id,stationName,longitude,latitude
313,Lakeview Ave & Fullerton Pkwy,-87.638973,41.925858
314,Ravenswood Ave & Berteau Ave,-87.673567,41.957921
315,Elston Ave & Wabansia Ave,-87.664169,41.912919
316,Damen Ave & Sunnyside Ave,-87.679258,41.96325
317,Wood St & Taylor St,-87.671045,41.869154
318,Southport Ave & Irving Park Rd,-87.664358,41.954177
319,Greenview Ave & Diversey Pkwy,-87.665939,41.932595
320,Loomis St & Lexington St,-87.661501,41.872187
321,Wabash Ave & 9th St,-87.625734,41.870769
322,Kimbark Ave & 53rd St,-87.594747,41.799568
323,Sheridan Rd & Lawrence Ave,-87.654691,41.969517
324,Stockton Dr & Wrightwood Ave,-87.638742,41.93132
325,Clark St & Winnemac Ave (Temp),-87.6697,41.973255
326,Clark St & Leland Ave,-87.667429,41.967096
327,Sheffield Ave & Webster Ave,-87.653818,41.92154
328,Ellis Ave & 58th St,-87.601334,41.788746
329,Lake Shore Dr & Diversey Pkwy,-87.636427,41.932588
330,Lincoln Ave & Addison St,-87.673308,41.946176
331,Halsted St & Clybourn Ave (*),-87.648128,41.909668
332,Burling St (Halsted) & Diversey Pkwy (Temp),-87.64776,41.93314
333,Ashland Ave & Blackhawk St,-87.667252,41.907066
334,Lake Shore Dr & Belmont Ave,-87.639192,41.940775
335,Calumet Ave & 35th St,-87.618034,41.831379
336,Cottage Grove Ave & 47th St,-87.606755,41.809855
337,Clark St & Chicago Ave,-87.630931,41.896544
338,Calumet Ave & 18th St,-87.619407,41.857611
339,Emerald Ave & 31st St,-87.645143,41.838198
340,Clark St & Wrightwood Ave,-87.643118,41.929546
341,Adler Planetarium,-87.607267,41.866095
342,Wolcott Ave & Polk St,-87.673688,41.871262
343,Racine Ave & Wrightwood Ave,-87.658971,41.928887
344,Ravenswood Ave & Lawrence Ave,-87.674237,41.96909
345,Lake Park Ave & 56th St,-87.587782,41.793242
346,Ada St & Washington Blvd,-87.661206,41.88283
347,Ashland Ave & Grace St,-87.6687,41.950687
348,California Ave & 21st St,-87.695445,41.854016
349,Halsted St & Wrightwood Ave,-87.649077,41.929143
350,Ashland Ave & Chicago Ave,-87.667747,41.895966
351,Cottage Grove Ave & 51st St,-87.606615,41.803038
352,Jeffery Blvd & 67th St,-87.5771428255,41.77351755125
353,Clark St & Touhy Ave,-87.6743671152,42.01256011541
354,Sheridan Rd & Greenleaf Ave,-87.6624120948,42.01058656284
355,South Shore Dr & 67th St,-87.567514,41.773643
356,Stony Island Ave & 71st St,-87.5864608775,41.7664929373
359,Larrabee St & Division St,-87.6433534936,41.90348607004
364,Larrabee St & Oak St,-87.6429854676,41.90021949323
365,Halsted St & North Branch St,-87.6484798752,41.89936843921
366,Loomis St & Archer Ave,-87.6574349533,41.84163253965
367,Racine Ave & 35th St,-87.6559759116,41.83069611252
368,Ashland Ave & Archer Ave,-87.6656098589,41.83920868403
369,Wood St & 35th St,-87.6702983089,41.83010465416
